commit_id,cbo,wmc,rfc,changed_sloc
3472,3.9316,20.0763,4.8711,18
3473,3.9316,20.0763,4.8711,45
3474,3.9316,20.0763,4.8711,9
3475,3.9316,20.075,4.8711,2
3476,3.9125,20.195,4.8422,8
3477,3.9125,20.195,4.8422,12
3478,3.9125,20.195,4.8422,362
3479,3.9125,20.195,4.8422,648
3480,3.9125,20.1923,4.8422,68
3481,3.9125,20.1923,4.8422,42
3482,3.9125,20.1923,4.8422,1199
3483,3.9125,20.191,4.8422,318
3484,3.9125,20.191,4.8342,48
3485,3.9125,20.1897,4.8342,2837
3486,3.9125,20.1897,4.8342,3
4336,5.4316,5.0033,7.1505,4
4337,5.4317,5.0033,7.1505,2
4338,5.4317,5.0033,7.1505,20
4339,5.4317,5.0033,7.1505,3850
